freq,response
79.99999999999999,0
83.55480007300389,0
87.2675576904956,0
91.14529169610866,0
95.19533281579976,0
99.42533751634015,0
103.84330247960914,0
108.45757972005264,0
113.276892373886,0
118.3103511898903,0
123.56747175297704,0
129.0581924730819,0
134.79289337339506,0
140.78241571344694,0
147.03808248414475,0
153.57171981350714,0
160.395679323562,0
167.52286148067336,0
174.96673998343965,0
182.74138723426947,0
190.86150094278463,0
199.3424319113477,0
208.2002130552381,0
217.45158971234045,0
227.11405129964322,0
237.20586437639548,0
247.74610717642253,0
258.75470567488725,0
270.25247125767714,0
282.2611400646303,0
294.80341408097917,0
307.9030040546899,0
321.58467432083654,0
335.8742896177446,0
350.79886398341074,0
366.38661182463466,0
382.6670012554075,0
399.6708098053938,0
417.4301826038155,0
435.97869314874146,0
455.3514067766571,0
475.5849469523082,0
496.71756450412846,0
518.7892099361484,0
541.8416089530815,0
565.9183413413685,0
591.0649233553003,0
617.3288937639686,0
644.7599037217126,0
673.4098106319616,0
703.3327761819121,0
734.5853687333807,0
767.2266702633926,0
801.3183880566783,0
836.9249713612188,0
874.1137332273893,0
912.9549777610197,0
953.5221330309465,0
995.891889882312,0
1040.1443469180324,-100
1086.3631619225164,-100
1134.6357100139026,-100
1185.0532488237807,-100
1237.711091016683,-100
1292.708784475481,-100
1350.1503004933086,-100
1410.1442303278068,-100
1472.803990489248,-100
1538.248037150643,-100
1606.6000900851582,-100
1677.989366554193,-100
1752.5508255882755,-100
1830.4254231225766,-100
1911.7603784693806,-100
1996.7094526312421,-100
2085.433238981004,-100
2178.099466858184,-100
2274.8833186556494,-100
2375.967760996055,-100
2481.5438906241006,-100
2591.8112956685122,-100
2706.978432956697,-100
2827.263022095377,-100
2952.8924570621975,-100
3084.1042360864144,-100
3221.146410631309,-100
3364.278054327161,-100
3513.769752741256,-100
3669.9041149107998,-100
3832.9763076058275,-100
4003.2946133320697,-100
4181.181013128682,-100
4366.971795262586,-100
4561.018190970153,-100
4763.6870384480635,-100
4975.361476348594,-100
5196.441668090403,-100
5427.345558354007,-100
5668.509663192178,-100
5920.3898952489135,-100
6183.462425646943,-100
6458.224584173276,-100
6745.19579946446,-100
7044.9185809689825,-100
7357.9595445431705,-100
7684.910483619443,-100
8026.389487971927,-100
8383.042112194431,-100
8755.542596099707,-100
9144.595139347257,-100
9550.93523270904,-100
9975.33104849016,-100
10418.584892732795,-100
10881.534721948843,-100
11365.055727248571,-100
11870.061988860027,-100
12397.508204167032,-100
12948.391492532524,-100
13523.753280319244,-100
14124.681269671313,-100
14752.311494778587,-100
15407.830469511277,-100
16092.477430484407,-100
16807.54667979315,-100
17554.390031847463,-100
18334.41936893184,-100
19149.10931032138,-100
20000.000000000004,-100
